"Data";"Instituto";"Dilma (PT)";"Aecio (PSDB)";"Marina (PSB)";"Br Nulo Nenhum";"NS NR";"Eduardo (PSB)";"Br Nulo Nenhum NS NR";"Entrevistas";"Numero Registro";"link"
2014-08-25;"Ibope";41;35;;12;12;;;2506;"BR-00428/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/08/pesquisa-ibope-mostra-dilma-com-34-e-marina-silva-com-29.html"
2014-08-25;"Ibope";36;;45;9;11;;;2506;"BR-00428/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/08/pesquisa-ibope-mostra-dilma-com-34-e-marina-silva-com-29.html"
2014-08-24;"MDA";43;33,3;;16,7;7;;;2002;"BR-00400/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20AGOSTO2014%20-%20R120%20-%20FINAL.pdf"
2014-08-24;"MDA";37,8;;43,7;12,4;6,1;;;2002;"BR-00400/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20AGOSTO2014%20-%20R120%20-%20FINAL.pdf"
2014-08-24;"MDA";;25,2;48,9;;;;25,9;2002;"BR-00400/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20AGOSTO2014%20-%20R120%20-%20FINAL.pdf"
2014-08-15;"Datafolha";47;39;;9;5;;;2843;"BR-00386/2014";"http://media.folha.uol.com.br/datafolha/2014/08/18/intencao_de_voto_para_presidente_site.pdf"
2014-08-15;"Datafolha";43;;47;6;4;;;2843;"BR-00386/2014";"http://media.folha.uol.com.br/datafolha/2014/08/18/intencao_de_voto_para_presidente_site.pdf"
2014-08-12;"MDA";41,8;33,9;;17,8;6,5;;;2002;"BR-00389/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20AGOSTO2014%20-%20R119%20-%20FINAL.pdf"
2014-08-12;"Sensus";37,7;34,7;;18,8;8,8;;;2000;"BR-00336/2014";"http://www.istoe.com.br/reportagens/377789_O+ULTIMO+RETRATO+ELEITORAL"
2014-08-07;"Ibope";42;36;;15;7;;;2506;"BR-00308/2014";"http://eleicoes.uol.com.br/2014/noticias/2014/08/07/ibope-dilma-tem-38-aecio-23-e-campos-9-das-intencoes-de-voto.htm"
