"Data";"Instituto";"Lula (PT)";"Geraldo Alckmin (PSDB)";"José Serra (PSDB)";"Garotinho (PMDB)";"Aécio Neves (PSDB)";"FHCPSDB";"Heloísa Helena (PSOL)";"Germano Rigotto (PMDB)";"Pedro Simon (PMDB)";"Votos Nao-Validos";"link";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2006-03-09;"IBPS";66,9;;;33,1;;;;;;;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";1913;"TSE";2,2;"2.444/2006"
2006-03-09;"IBPS";48,6;;51,4;;;;;;;;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";1913;"TSE";2,2;"2.444/2006"
2006-03-09;"IBPS";53,1;46,9;;;;;;;;;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";1913;"TSE";2,2;"2.444/2006"
2006-03-11;"Ibope";53;;;24;;;;;;22;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"2819/2006"
2006-03-11;"Ibope";58;;;;;;;15;;26;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"2819/2006"
2006-03-11;"Ibope";55;;;;;;21;;;24;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"2819/2006"
2006-03-11;"Ibope";49;31;;;;;;;;20;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"2819/2006"
2006-03-11;"Ibope";44;;40;;;;;;;15;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"2819/2006"
2006-03-17;"Datafolha";50;38;;;;;;;;12;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3801;"TSE";2;"3038/2006"
2006-03-17;"Datafolha";55;;;29;;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3801;"TSE";2;"3038/2006"
2006-03-30;"IBPS";65;;;35;;;;;;;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2099;"TSE";2,2;"3646/2006"
