"Data";"Instituto";"José Serra (PSDB)";"Dilma Roussef (PT)";"Ciro Gomes (PSB)";"Aécio Neves (PSDB)";"Marina Silva (PV)";"Patrus Ananias (PT)";"Votos Nao-Validos";"link";"Contratante";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2009-12-18;"Datafolha";;40;35;;;;25;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;11429;;2;
2009-12-18;"Datafolha";;40;35;;;;25;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;;2;
2009-12-18;"Datafolha";51;;28;;;;21;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;11429;;2;
2009-12-18;"Datafolha";51;;28;;;;21;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;;2;
2009-12-18;"Datafolha";;44;;28;;;28;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;11429;;2;
2009-12-18;"Datafolha";;44;;28;;;28;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;;2;
2009-12-18;"Datafolha";;;42;28;;;30;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;11429;;2;
2009-12-18;"Datafolha";;;42;28;;;30;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;;2;
2010-01-29;"Sensus";44;37,1;;;;;19;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"(CNT) Confederação Nacional dos Transportes";;"TSE";3;"15702/2010"
2010-01-29;"Sensus";44;37,1;;;;;19;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT";2000;"TSE";2;"15702/2010"
2010-01-29;"Sensus";;43,3;31;;;;25,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"(CNT) Confederação Nacional dos Transportes";;"TSE";3;"15702/2010"
2010-01-29;"Sensus";;43,3;31;;;;25,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT";2000;"TSE";2;"15702/2010"
2010-01-29;"Sensus";47,6;;26,7;;;;25,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"(CNT) Confederação Nacional dos Transportes";;"TSE";3;"15702/2010"
2010-01-29;"Sensus";47,6;;26,7;;;;25,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT";2000;"TSE";2;"15702/2010"
2010-02-25;"Datafolha";;46;33;;;;21;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2623;"TSE";2;"4080/2010"
2010-02-25;"Datafolha";49;;31;;;;21;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2623;"TSE";2;"4080/2010"
2010-02-25;"Datafolha";;48;;26;;;26;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2623;"TSE";2;"4080/2010"
2010-02-25;"Datafolha";;;45;26;;;29;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2623;"TSE";2;"4080/2010"
2010-02-25;"Datafolha";45;41;;;;;15;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2623;"TSE";2;"4080/2010"
2010-03-26;"Datafolha";;46;34;;;;20;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;"TSE";2;"6617/2010"
2010-03-26;"Datafolha";;46;34;;;;20;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";4158;"TSE";2;"6617/2010"
2010-03-26;"Datafolha";52;;29;;;;20;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;"TSE";2;"6617/2010"
2010-03-26;"Datafolha";52;;29;;;;20;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";4158;"TSE";2;"6617/2010"
2010-03-26;"Datafolha";48;39;;;;;13;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";;"TSE";2;"6617/2010"
2010-03-26;"Datafolha";48;39;;;;;13;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";4158;"TSE";2;"6617/2010"
2010-04-09;"Sensus";41,7;39,7;;;;;18,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Sindicato dos Trabalhadores nas Indústrias da Construção Pesada e Afins do Estado de São Paulo";2000;"TSE";2,2;"7594/2010"
2010-04-16;"Datafolha";50;40;;;;;10;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2600;"TSE";2;"8383/2010"
2010-04-16;"Datafolha";;47;36;;;;18;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2600;"TSE";2;"8383/2010"
2010-04-16;"Datafolha";56;;29;;;;15;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2600;"TSE";2;"8383/2010"
2010-04-18;"Ibope";46;37;;;;;18;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Associação Comercial de São Paulo (Diário do Comércio)";2002;"TSE";2;"9070/2010"
2010-05-13;"Vox Populi";38;40;;;;;21;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Rádio e Televisão Bandeirantes Ltda";2000;"TSE";2,2;"11266/2010"
2010-05-14;"Sensus";;51,7;;;21,3;;27,2;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Confederação Nacional dos Transportes";2000;"TSE";2,2;"11/05/2010"
2010-05-14;"Sensus";;51,7;;;21,3;;27,2;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"11/05/2010"
2010-05-14;"Sensus";50,3;;;;24,3;;25,5;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Confederação Nacional dos Transportes";2000;"TSE";2,2;"11/05/2010"
2010-05-14;"Sensus";50,3;;;;24,3;;25,5;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"11/05/2010"
2010-05-14;"Sensus";40,5;41,8;;;;;17,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Confederação Nacional dos Transportes";2000;"TSE";2,2;"11/05/2010"
2010-05-14;"Sensus";40,5;41,8;;;;;17,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"11/05/2010"
2010-05-21;"Datafolha";;53;;;30;;17;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2660;"TSE";2;"12044/2010"
2010-05-21;"Datafolha";;53;;;30;;17;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo (Empresa Folha da Manhã S/A)";2650;"TSE";2;"12044/2010"
2010-05-21;"Datafolha";52;;;;34;;14;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2660;"TSE";2;"12044/2010"
2010-05-21;"Datafolha";52;;;;34;;14;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo (Empresa Folha da Manhã S/A)";2650;"TSE";2;"12044/2010"
2010-05-21;"Datafolha";45;46;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2660;"TSE";2;"12044/2010"
2010-05-21;"Datafolha";45;46;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo (Empresa Folha da Manhã S/A)";2650;"TSE";2;"12044/2010"
